181407 tcriss    20   0 12.362g  66968  11540 S  18.2  0.2   0:01.19 java
181407 tcriss    20   0 12.362g  66968  11540 S  10.0  0.2   0:01.20 java
181407 tcriss    20   0 12.362g  66968  11540 S  18.2  0.2   0:01.22 java
181407 tcriss    20   0 12.362g  66968  11540 S  18.2  0.2   0:01.24 java
181407 tcriss    20   0 12.362g  66968  11540 S  18.2  0.2   0:01.26 java
181407 tcriss    20   0 12.362g  69016  11540 S   9.1  0.2   0:01.27 java
181407 tcriss    20   0 12.362g  69016  11540 S  18.2  0.2   0:01.29 java
181407 tcriss    20   0 12.362g  69016  11540 S   9.1  0.2   0:01.30 java
181407 tcriss    20   0 12.362g  69016  11540 S  18.2  0.2   0:01.32 java
181407 tcriss    20   0 12.362g  69016  11540 S  18.2  0.2   0:01.34 java
181407 tcriss    20   0 12.362g  69016  11540 S   9.1  0.2   0:01.35 java
181407 tcriss    20   0 12.362g  69016  11540 S   9.1  0.2   0:01.36 java
181407 tcriss    20   0 12.362g  69016  11540 S  18.2  0.2   0:01.38 java
181407 tcriss    20   0 12.362g  69016  11540 S   9.1  0.2   0:01.39 java
181407 tcriss    20   0 12.362g  69016  11540 S  18.2  0.2   0:01.41 java
181407 tcriss    20   0 12.362g  69016  11540 S  18.2  0.2   0:01.43 java
181407 tcriss    20   0 12.362g  69016  11540 S   9.1  0.2   0:01.44 java
181407 tcriss    20   0 12.362g  69016  11540 S  18.2  0.2   0:01.46 java
181407 tcriss    20   0 12.362g  69020  11540 S   9.1  0.2   0:01.47 java
181407 tcriss    20   0 12.362g  69020  11540 S  18.2  0.2   0:01.49 java
181407 tcriss    20   0 12.362g  71068  11540 S   9.1  0.2   0:01.50 java
181407 tcriss    20   0 12.362g  71068  11540 S  18.2  0.2   0:01.52 java
181407 tcriss    20   0 12.362g  71068  11540 S  18.2  0.2   0:01.54 java
181407 tcriss    20   0 12.362g  71068  11540 S   9.1  0.2   0:01.55 java
181407 tcriss    20   0 12.362g  71068  11540 S  18.2  0.2   0:01.57 java
181407 tcriss    20   0 12.362g  71068  11540 S   9.1  0.2   0:01.58 java
181407 tcriss    20   0 12.362g  71068  11540 S  18.2  0.2   0:01.60 java
